from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
121,70096,1,,,,,,52928479-BraintreeJFK1,52928479-BraintreeJFK2
121,70096,1,,,,,,52928480-BraintreeJFK1,52928480-BraintreeJFK2
121,70096,1,,,,,,52927901-BraintreeJFK1,52927901-BraintreeJFK2
121,70096,1,,,,,,52927906-BraintreeJFK1,52927906-BraintreeJFK2
121,70096,1,,,,,,52927915-BraintreeJFK1,52927915-BraintreeJFK2
121,70096,1,,,,,,52927948-BraintreeJFK1,52927948-BraintreeJFK2
121,70096,1,,,,,,52927972-BraintreeJFK1,52927972-BraintreeJFK2
121,70096,1,,,,,,52927973-BraintreeJFK1,52927973-BraintreeJFK2
121,70096,1,,,,,,52927993-BraintreeJFK1,52927993-BraintreeJFK2
121,70096,1,,,,,,52927994-BraintreeJFK1,52927994-BraintreeJFK2
121,70096,1,,,,,,52928000-BraintreeJFK1,52928000-BraintreeJFK2
121,70096,1,,,,,,52928001-BraintreeJFK1,52928001-BraintreeJFK2
121,70096,1,,,,,,52928002-BraintreeJFK1,52928002-BraintreeJFK2
121,70096,1,,,,,,52928003-BraintreeJFK1,52928003-BraintreeJFK2
121,70096,1,,,,,,52928004-BraintreeJFK1,52928004-BraintreeJFK2
121,70096,1,,,,,,52928027-BraintreeJFK1,52928027-BraintreeJFK2
121,70096,1,,,,,,52928028-BraintreeJFK1,52928028-BraintreeJFK2
121,70096,1,,,,,,52928029-BraintreeJFK1,52928029-BraintreeJFK2
121,70096,1,,,,,,52928030-BraintreeJFK1,52928030-BraintreeJFK2
121,70096,1,,,,,,52928031-BraintreeJFK1,52928031-BraintreeJFK2
121,70096,1,,,,,,52928032-BraintreeJFK1,52928032-BraintreeJFK2
121,70096,1,,,,,,52928033-BraintreeJFK1,52928033-BraintreeJFK2
121,70096,1,,,,,,52928047-BraintreeJFK1,52928047-BraintreeJFK2
121,70096,1,,,,,,52928048-BraintreeJFK1,52928048-BraintreeJFK2
121,70096,1,,,,,,52928049-BraintreeJFK1,52928049-BraintreeJFK2
121,70096,1,,,,,,52928050-BraintreeJFK1,52928050-BraintreeJFK2
121,70096,1,,,,,,52928051-BraintreeJFK1,52928051-BraintreeJFK2
121,70096,1,,,,,,52928052-BraintreeJFK1,52928052-BraintreeJFK2
121,70096,1,,,,,,52928076-BraintreeJFK1,52928076-BraintreeJFK2
121,70096,1,,,,,,52928077-BraintreeJFK1,52928077-BraintreeJFK2
121,70096,1,,,,,,52928078-BraintreeJFK1,52928078-BraintreeJFK2
121,70096,1,,,,,,52928079-BraintreeJFK1,52928079-BraintreeJFK2
121,70096,1,,,,,,52928080-BraintreeJFK1,52928080-BraintreeJFK2
121,70096,1,,,,,,52928081-BraintreeJFK1,52928081-BraintreeJFK2
121,70096,1,,,,,,52928082-BraintreeJFK1,52928082-BraintreeJFK2
121,70096,1,,,,,,52928083-BraintreeJFK1,52928083-BraintreeJFK2
121,70096,1,,,,,,52928084-BraintreeJFK1,52928084-BraintreeJFK2
121,70096,1,,,,,,52928099-BraintreeJFK1,52928099-BraintreeJFK2
121,70096,1,,,,,,52928100-BraintreeJFK1,52928100-BraintreeJFK2
121,70096,1,,,,,,52928113-BraintreeJFK1,52928113-BraintreeJFK2
121,70096,1,,,,,,52928114-BraintreeJFK1,52928114-BraintreeJFK2
121,70096,1,,,,,,52928115-BraintreeJFK1,52928115-BraintreeJFK2
121,70096,1,,,,,,52928116-BraintreeJFK1,52928116-BraintreeJFK2
121,70096,1,,,,,,52928117-BraintreeJFK1,52928117-BraintreeJFK2
121,70096,1,,,,,,52928118-BraintreeJFK1,52928118-BraintreeJFK2
121,70096,1,,,,,,52928119-BraintreeJFK1,52928119-BraintreeJFK2
121,70096,1,,,,,,52928122-BraintreeJFK1,52928122-BraintreeJFK2
121,70096,1,,,,,,52928136-BraintreeJFK1,52928136-BraintreeJFK2
121,70096,1,,,,,,52928137-BraintreeJFK1,52928137-BraintreeJFK2
121,70096,1,,,,,,52928141-BraintreeJFK1,52928141-BraintreeJFK2
121,70096,1,,,,,,52928142-BraintreeJFK1,52928142-BraintreeJFK2
121,70096,1,,,,,,52928143-BraintreeJFK1,52928143-BraintreeJFK2
121,70096,1,,,,,,52928144-BraintreeJFK1,52928144-BraintreeJFK2
121,70096,1,,,,,,52928145-BraintreeJFK1,52928145-BraintreeJFK2
121,70096,1,,,,,,52928146-BraintreeJFK1,52928146-BraintreeJFK2
121,70096,1,,,,,,52928147-BraintreeJFK1,52928147-BraintreeJFK2
121,70096,1,,,,,,52928150-BraintreeJFK1,52928150-BraintreeJFK2
121,70096,1,,,,,,52928151-BraintreeJFK1,52928151-BraintreeJFK2
121,70096,1,,,,,,52928153-BraintreeJFK1,52928153-BraintreeJFK2
121,70096,1,,,,,,52928165-BraintreeJFK1,52928165-BraintreeJFK2
121,70096,1,,,,,,52928170-BraintreeJFK1,52928170-BraintreeJFK2
121,70096,1,,,,,,52928171-BraintreeJFK1,52928171-BraintreeJFK2
121,70096,1,,,,,,52928172-BraintreeJFK1,52928172-BraintreeJFK2
121,70096,1,,,,,,52928173-BraintreeJFK1,52928173-BraintreeJFK2
121,70096,1,,,,,,52928174-BraintreeJFK1,52928174-BraintreeJFK2
121,70096,1,,,,,,52928175-BraintreeJFK1,52928175-BraintreeJFK2
121,70096,1,,,,,,52928176-BraintreeJFK1,52928176-BraintreeJFK2
121,70096,1,,,,,,52928177-BraintreeJFK1,52928177-BraintreeJFK2
121,70096,1,,,,,,52928178-BraintreeJFK1,52928178-BraintreeJFK2
121,70096,1,,,,,,52928204-BraintreeJFK1,52928204-BraintreeJFK2
121,70096,1,,,,,,52928207-BraintreeJFK1,52928207-BraintreeJFK2
121,70096,1,,,,,,52928208-BraintreeJFK1,52928208-BraintreeJFK2
121,70096,1,,,,,,52928209-BraintreeJFK1,52928209-BraintreeJFK2
121,70096,1,,,,,,52928210-BraintreeJFK1,52928210-BraintreeJFK2
121,70096,1,,,,,,52928211-BraintreeJFK1,52928211-BraintreeJFK2
121,70096,1,,,,,,52928212-BraintreeJFK1,52928212-BraintreeJFK2
121,70096,1,,,,,,52928213-BraintreeJFK1,52928213-BraintreeJFK2
121,70096,1,,,,,,52928217-BraintreeJFK1,52928217-BraintreeJFK2
121,70096,1,,,,,,52928218-BraintreeJFK1,52928218-BraintreeJFK2
